section,code,description
A. Perception & Impact,Water Stress / Consumption,"Groundwater depletion, drinking-water risk, Great Lakes or cooling-water use"
A. Perception & Impact,Water Governance & Rights,"Public trust doctrine, basin rules, disclosure on withdrawals"
A. Perception & Impact,Energy Demand & Grid Stress,"Load growth, reliability concerns, ratepayer cost shifting"
A. Perception & Impact,Energy Source & Fuel Mix,"Gas plants, renewables integration, onsite power"
A. Perception & Impact,Land Use & Zoning Conflict,"Farmland conversion, rezoning, annexation, future land flexibility"
A. Perception & Impact,Community Character & Place Identity,"Rural charm, scale mismatch, loss of place"
B. Social & Equity,Equity & Environmental Justice,Disproportionate burden or exposure on households/communities
B. Social & Equity,Distributional Impacts,Who bears costs versus who gets benefits
B. Social & Equity,Social License to Operate,Community acceptance and perceived legitimacy
"C. Governance, Trust & Process",Transparency & Disclosure,"Public records, NDAs, reporting requirements"
"C. Governance, Trust & Process",Trust Deficit,"Secrecy, broken promises, information asymmetry"
"C. Governance, Trust & Process",Regulatory Adequacy,"Gaps in law, outdated permitting, reactive regulation"
"C. Governance, Trust & Process",Public Participation,"Meaningful engagement, timing of consultation, exclusion"
D. Economic Framing,Economic Benefits,"Jobs, tax base, investment attraction"
D. Economic Framing,Economic Tradeoffs & Risks,"Infrastructure costs, limited jobs, fiscal risk"
D. Economic Framing,Opportunity Cost,"Foregone alternative land uses, lock-in"
E. Technology & Narrative,Greenwashing / Climate Hypocrisy,"Waterless or carbon-neutral claims, offsets, selective disclosure"
E. Technology & Narrative,Technological Optimism,Faith in efficiency gains or future tech fixes
E. Technology & Narrative,Technological Uncertainty,"Obsolescence risk, lifespan, AI demand uncertainty"
F. Tone & Conflict,Overall Stance,"Supportive, neutral/conditional, or opposed"
F. Tone & Conflict,Conflict Escalation Level,"Awareness, organized opposition, policy intervention, litigation/moratorium"
G. Actors & Power,Actors,"Residents, local governments, utilities, developers, NGOs, regulators, investors"
H. Evidence & Rhetoric,Quantitative Evidence,"Water volumes, energy loads, fiscal figures"
H. Evidence & Rhetoric,Anecdotes & Quotes,"Resident testimony, expert warnings"
H. Evidence & Rhetoric,Comparative Framing,‘Like a small city’; cross-regional comparisons
