ID,title,date,outlet,location,company,article_type,project_stage,primary_conflict_frame,secondary_conflict_frame,actors_present,actors_quoted,benefits_emphasized,risks_emphasized,governance_issue,transparency_issue,energy_issue,water_issue,land_use_issue,tone,evidence_type,notable_quote,memo,source_file
1,Water and energy use is growing as data centers are built across the Midwest and Great Plains,2025-07-21,Wisconsin Public Radio,"Midwest / Dane County, WI",QTS; Microsoft,News,proposal,energy demand,water use,tech firms; researchers; environmental groups; utilities,Shaolei Ren; Zack Pistora; QTS executive,economic development; tech infrastructure,electricity demand; carbon footprint; water consumption,0,0,1,1,0,neutral,mixed,“Data centers are among the most energy-intensive types of buildings.”,Regional framing of water-energy tradeoffs in new data center development.,1. Water and energy use is growing as data centers are built across the Midwest and Great Plains.docx
2,"Report says growing demand from data centers, industry could stress Great Lakes water",2025-09-03,Wisconsin Public Radio,Great Lakes region / Wisconsin,Multiple,News,policy debate,water use,governance,Alliance for the Great Lakes; regulators; economic development officials,Helena Volzer,economic growth,water withdrawals; groundwater stress; weak reporting rules,1,0,0,1,0,somewhat_negative,report,“States are largely unprepared to meet growing demand.”,Focuses on regulatory gaps and Great Lakes water planning.,2. Report says growing demand from data centers.docx
3,Mega Data Centers Could Drain Water Supplies in Great Lakes Region if Protections Aren’t Put in Place,2025-08-20,WTTW News,Great Lakes region,Meta; Microsoft; hyperscalers,Analysis,policy debate,water use,transparency claims,environmental NGOs; policymakers; residents,Helena Volzer,regional development,water depletion; groundwater conflict; poor disclosure,1,1,0,1,0,somewhat_negative,expert analysis,“A hyperscale center can consume 1–5 million gallons of water each day.”,Stresses need for proactive protections before shortages emerge.,3. Mega Data Centers Could Drain Water Supplies in Great Lakes Region if Protections Are.docx
4,"As Data Centers Proliferate Across Illinois, Communities Grapple with How to Supply the Necessary Water",2025-06-16,Inside Climate News,Illinois / Great Lakes,Equinix,Investigative,proposal,water use,governance,municipal officials; NGOs; developers,Freshwater Society; Equinix spokesperson,economic development,water shortages; infrastructure strain; planning failures,1,0,0,1,0,critical,expert analysis,“Some places cannot support data centers.”,Municipal water allocation and reclaimed-water debates.,"4. As Data Centers Proliferate Across Illinois, Communities Grapple.docx"
5,Are data centers draining the Great Lakes?,2025-08-20,Bridge Michigan / Planet Detroit,Great Lakes region,Multiple,Analysis,policy debate,water use,economic tradeoffs,environmental groups; utilities; policymakers,Helena Volzer; Michigan Chamber,economic growth,aquifer depletion; water demand,0,0,0,1,0,neutral,report,“There’s a tension right now between promoting economic development and protecting water resources.”,Frames water-rich Great Lakes as finite and contested.,5. Are data centers draining the Great Lakes.docx
6,Data centers consume massive amounts of water – companies rarely tell the public exactly how much,2025-08-19,The Conversation,U.S. / Great Lakes,Amazon; Google; Microsoft; Meta,Analysis,operational,transparency,water use,researchers; tech firms,Peyton McCauley; Melissa Scanlan,digital infrastructure,water consumption; incomplete corporate disclosure,1,1,0,1,0,neutral,academic,“Technology companies don’t always reveal how much water their data centers use.”,Highlights reporting inconsistency across major tech firms.,6. Data centers consume massive amounts of water.docx
7,The Midwest's data center boom comes to Indiana,2025-05-09,Axios,Midwest / Indiana,Amazon; Google; Meta; Microsoft,News,expansion,energy demand,transparency claims,utilities; policy experts; advocacy groups,Helena Volzer; Dan Diorio,economic development,energy demand; water use; secrecy,1,1,1,1,0,neutral,mixed,“Their soaring energy and water demands often go unreported.”,Regional overview of the Midwest boom.,7. The Midwes's data center boom comes to Indiana.docx
8,Mystery company's $1.6B data center proposed for Wisconsin farmland draws residents' ire,2025-09-08,Fox Business,"Menomonie, WI",Balloonist LLC / unnamed tech firm,News,proposal,land use conflict,transparency claims,residents; city council; developer,Sydney Brennan; Cody Gentz,construction jobs; tax revenue,loss of farmland; unknown developer,1,1,0,0,1,somewhat_negative,public statements,“Neither the council nor the public has been told who the company behind this project is.”,Strong local skepticism toward secrecy and farmland conversion.,8. Mystery companys 1.6B data center.docx
9,"AI could deplete drinking water sources around Illinois, Midwest",2025-08-20,Chicago Sun-Times,Midwest / Illinois,Multiple,News,policy debate,water use,transparency claims,advocacy groups; industry representatives,Helena Volzer,economic development,water depletion; secrecy agreements,1,1,0,1,0,critical,advocacy report,“What we don’t know about water questions is more than what we do know.”,Links AI expansion to regional drinking-water pressures.,9. AI could deplete drinking water sources.docx
10,"‘They want our land, they want our water’: Caledonia residents speak out against planned data center",2025-09-11,Wisconsin Public Radio,"Caledonia, WI",Unknown / Project Nova,News,conflict,land use conflict,water use,residents; village board; We Energies,Marcia Buhler; Becky Girard; Paula Pintar,none emphasized,land loss; water use; rural character; lack of benefit,0,1,0,1,1,negative,public meeting,"“This company, whoever it is, they want our land, they want our water.”",Classic place-identity and anti-secrecy opposition.,10. They want our land.docx
